emp_no,first_name,last_name,title,from_date,to_date,salary
10001,Georgi,Facello,Senior Engineer,1986-06-26,9999-01-01,"$60,117.00"
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,9999-01-01,"$40,054.00"
10004,Chirstian,Koblick,Engineer,1986-12-01,1995-12-01,"$40,054.00"
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01,"$60,929.00"
10009,Sumant,Peac,Engineer,1990-02-18,1995-02-18,"$60,929.00"
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18,"$60,929.00"
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,9999-01-01,"$55,881.00"
10018,Kazuhide,Peha,Engineer,1987-04-03,1995-04-03,"$55,881.00"
10035,Alain,Chappelet,Senior Engineer,1996-09-05,9999-01-01,"$41,538.00"
10035,Alain,Chappelet,Engineer,1988-09-05,1996-09-05,"$41,538.00"
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,9999-01-01,"$67,854.00"
10058,Berhard,McFarlin,Senior Staff,1988-04-25,9999-01-01,"$52,787.00"
10066,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01,"$69,736.00"
10066,Kwee,Schusler,Engineer,1992-02-26,1998-02-25,"$69,736.00"
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,1992-02-26,"$69,736.00"
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,9999-01-01,"$44,642.00"
10067,Claudi,Stavenow,Engineer,1987-03-04,1996-03-03,"$44,642.00"
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01,"$55,999.00"
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01,"$40,000.00"
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21,"$40,000.00"
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01,"$47,319.00"
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,9999-01-01,"$65,957.00"
10088,Jungsoon,Syrzycki,Staff,1988-09-02,1993-09-02,"$65,957.00"
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,9999-01-01,"$54,398.00"
10100,Hironobu,Haraldson,Staff,1987-09-21,1994-09-21,"$54,398.00"
10103,Akemi,Birch,Engineer,1998-01-12,9999-01-01,"$68,158.00"
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01,"$40,000.00"
10126,Kayoko,Valtorta,Staff,1985-09-08,1991-09-08,"$40,000.00"
10129,Armond,Peir,Technique Leader,1996-01-16,9999-01-01,"$40,000.00"
10130,Nishit,Casperson,Senior Engineer,1988-06-21,9999-01-01,"$40,000.00"
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,9999-01-01,"$40,000.00"
10134,Diederik,Siprelle,Engineer,1987-12-12,1994-12-12,"$40,000.00"
10138,Perry,Shimshoni,Senior Engineer,2001-03-03,9999-01-01,"$53,574.00"
10138,Perry,Shimshoni,Engineer,1992-03-03,2001-03-03,"$53,574.00"
10150,Zhenbing,Perng,Senior Engineer,1995-11-16,9999-01-01,"$70,122.00"
10150,Zhenbing,Perng,Engineer,1986-11-16,1995-11-16,"$70,122.00"
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,9999-01-01,"$54,246.00"
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01,"$48,770.00"
10198,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01,"$44,076.00"
10198,Pranav,Furedi,Engineer,1985-08-31,1993-08-31,"$44,076.00"
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,9999-01-01,"$43,944.00"
10224,Leon,Trogemann,Senior Engineer,1996-01-09,9999-01-01,"$40,000.00"
10224,Leon,Trogemann,Engineer,1988-01-09,1996-01-09,"$40,000.00"
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01,"$40,000.00"
10233,Lein,Vendrig,Staff,1994-04-29,2000-04-28,"$40,000.00"
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,9999-01-01,"$66,280.00"
10258,Basil,Ishibashi,Engineer,1991-05-17,1997-05-16,"$66,280.00"
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,1991-05-17,"$66,280.00"
10272,Yishai,Cannane,Staff,1997-10-23,9999-01-01,"$58,070.00"
10282,Hercules,Benzmuller,Engineer,2001-05-02,9999-01-01,"$40,000.00"
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,2001-05-02,"$40,000.00"
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,9999-01-01,"$40,000.00"
10283,Kauko,Birjandi,Engineer,1988-05-25,1995-05-26,"$40,000.00"
10326,Masali,Czap,Staff,1998-09-02,9999-01-01,"$40,000.00"
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01,"$68,132.00"
10340,Djelloul,Laventhal,Staff,1988-03-30,1993-03-30,"$68,132.00"
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01,"$42,199.00"
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01,"$70,434.00"
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01,"$45,376.00"
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01,"$51,401.00"
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01,"$54,505.00"
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01,"$61,374.00"
